trip_id,route_id
35903540,53427
35903545,53427
35903591,53427
35903572,53427
35903546,53427
35903592,53427
35903542,53427
35903579,53427
35903593,53427
35903544,53427
35903580,53427
35903573,53427
35903563,53427
35903562,53427
35903568,53427
35903561,53427
35903560,53427
35903559,53427
35903567,53427
35903558,53427
35903557,53427
35903556,53427
35903566,53427
35903555,53427
35903554,53427
35903553,53427
35903565,53427
35903552,53427
35903551,53427
35903550,53427
35903564,53427
35903549,53427
35903548,53427
35903569,53427
35903606,53428
35903639,53428
35903640,53428
35903641,53428
35903642,53428
35903643,53428
35903644,53428
35903645,53428
35903646,53428
35903647,53428
35903648,53428
35903649,53428
35903650,53428
35903651,53428
35903652,53428
35903653,53428
35903654,53428
35903621,53428
35903622,53428
35903623,53428
35903624,53428
35903625,53428
35903626,53428
35903627,53428
35903628,53428
35903629,53428
35903630,53428
35903631,53428
35903632,53428
35903633,53428
35903634,53428
35903635,53428
35903636,53428
35903637,53428
35903638,53428
35903677,53428
35903676,53428
35903655,53428
35903656,53428
35903657,53428
35903658,53428
35903659,53428
35903660,53428
35903661,53428
35903662,53428
35903663,53428
35903664,53428
35903665,53428
35903666,53428
35903667,53428
35903668,53428
35903669,53428
35903670,53428
35903671,53428
35903672,53428
35903673,53428
35903674,53428
35903675,53428
35903612,53428
35903619,53428
35903618,53428
35903617,53428
35903616,53428
35903615,53428
35903614,53428
35903620,53428
35903613,53428
35903601,53428
35903610,53428
35903611,53428
35903609,53428
35903604,53428
35903605,53428
35903603,53428
35903602,53428
35903607,53428
35903608,53428
35903600,53428
35903679,53428
35903678,53428
35903697,53428
35903698,53428
35903699,53428
35903700,53428
35903701,53428
35903702,53428
35903703,53428
35903704,53428
35903705,53428
35903706,53428
35903707,53428
35903708,53428
35903709,53428
35903710,53428
35903711,53428
35903712,53428
35903680,53428
35903681,53428
35903682,53428
35903683,53428
35903684,53428
35903685,53428
35903686,53428
35903687,53428
35903688,53428
35903689,53428
35903690,53428
35903691,53428
35903692,53428
35903693,53428
35903694,53428
35903695,53428
35903696,53428
35903713,53428
35903714,53428
35903715,53428
35903716,53428
35903737,53428
35903738,53428
35903739,53428
35903740,53428
35903741,53428
35903742,53428
35903743,53428
35903744,53428
35903745,53428
35903746,53428
35903747,53428
35903748,53428
35903749,53428
35903750,53428
35903751,53428
35903752,53428
35903753,53428
35903754,53428
35903717,53428
35903718,53428
35903719,53428
35903720,53428
35903721,53428
35903722,53428
35903723,53428
35903724,53428
35903725,53428
35903726,53428
35903736,53428
35903727,53428
35903728,53428
35903729,53428
35903730,53428
35903731,53428
35903732,53428
35903733,53428
35903734,53428
35903735,53428
35903755,53429
35903811,53429
35903810,53429
35903837,53429
35903756,53429
35903757,53429
35903758,53429
35903759,53429
35903760,53429
35903761,53429
35903762,53429
35903763,53429
35903764,53429
35903765,53429
35903766,53429
35903767,53429
35903768,53429
35903769,53429
35903770,53429
35903771,53429
35903772,53429
35903773,53429
35903774,53429
35903775,53429
35903776,53429
35903777,53429
35903778,53429
35903779,53429
35903780,53429
35903781,53429
35903782,53429
35903783,53429
35903784,53429
35903785,53429
35903786,53429
35903787,53429
35903788,53429
35903789,53429
35903790,53429
35903791,53429
35903813,53429
35903814,53429
35903815,53429
35903816,53429
35903817,53429
35903818,53429
35903819,53429
35903820,53429
35903821,53429
35903822,53429
35903823,53429
35903824,53429
35903825,53429
35903826,53429
35903827,53429
35903828,53429
35903829,53429
35903830,53429
35903831,53429
35903832,53429
35903836,53429
35903835,53429
35903834,53429
35903833,53429
35903792,53429
35903793,53429
35903794,53429
