stop_id,stop_code,stop_name
600,4509,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE
601,11583,OLD WESTON RD AT ST CLAIR AVE WEST
602,4508,OLD WESTON RD AT ST CLAIR AVE WEST
605,10225,851 OSSINGTON AVE
606,8008,OSSINGTON AVE AT BLOOR ST WEST
607,9857,OSSINGTON AVE AT BLOOR ST WEST
609,2979,OVERLEA BLVD AT MILLWOOD RD EAST SIDE
610,8009,OVERLEA BLVD AT MILLWOOD RD
611,8011,OVERLEA BLVD AT THORNCLIFFE PARK DR EAST
612,11846,PAPE AVE AT LIPTON AVE NORTH SIDE
613,4501,PAPE AVE AT OCONNOR DR NORTH SIDE
614,1451,PARLIAMENT ST AT CARLTON ST
615,1452,PARLIAMENT ST AT GERRARD ST EAST
616,13336,PASSMORE AVE AT MIDLAND AVE WEST SIDE
617,1453,PETER KAISER GATE AT STEELES AVE WEST
619,6698,PHARMACY AVE AT ELLESMERE RD
620,9885,PORT UNION RD AT ADENMORE RD NORTH SIDE
623,3587,FINCH AVE WEST AT DUFFERIN ST
624,13709,FINCH AVE WEST AT JANE ST
627,11200,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE
628,12456,FINCH AVE WEST AT RUMIKE RD EAST SIDE
629,3613,FINCH AVE WEST AT SENLAC RD
630,9821,FINCH AVE WEST AT SENTINEL RD EAST SIDE
631,3622,FINCH AVE WEST AT WILMINGTON AVE
632,10210,FLEET ST AT BATHURST ST
638,2646,FRESHMEADOW DR AT DON MILLS RD
639,9116,FRESHMEADOW DR AT DON MILLS RD
640,9536,FRONT ST EAST AT BERKELEY ST
641,9406,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION)
642,12491,GLEN RD AT SOUTH DR
643,7480,LAWSON RD AT KINGSTON ROAD (HIGHWAY 2A OVERPASS)
644,6625,HIGHLAND CREEK OVERPASS AT KINGSTON RD
645,11560,HIGHLAND CREEK OVERPASS AT KINGSTON RD
646,11504,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL)
647,11084,HUMBER COLLEGE BLVD AT CARRIER DR
648,12196,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE
649,7861,HUMBER COLLEGE BLVD AT HUMBERLINE DR
650,12064,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE
651,11049,HUMBERLINE DR AT HUMBER COLLEGE BLVD
654,9901,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE
655,13363,ISLINGTON AVE AT BLOOR ST WEST
656,9902,ISLINGTON AVE AT BLOOR ST WEST
657,3772,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE
658,3791,ISLINGTON AVE AT FINCH AVE WEST
660,3863,JANE ST AT ANNETTE ST
661,3878,JANE ST AT TRETHEWEY DR
662,3891,JANE ST AT FINCH AVE WEST SOUTH SIDE
663,3903,JANE ST AT HEATHROW DR
664,10411,JANE ST AT HULLMAR DR
665,3904,JANE ST AT HULLMAR DR
666,11842,JANE ST AT LAMBTON AVE
667,3916,JANE ST AT PRITCHARD AVE
668,2740,JANE ST AT WRIGHT AVE
669,10412,JANE ST AT STEELES AVE WEST
670,11011,JARVIS ST AT CARLTON ST NORTH SIDE
671,10884,JARVIS ST AT CARLTON ST SOUTH SIDE
673,10885,JARVIS ST AT DUNDAS ST EAST
